Item Name,Level 1 Code,Level 1 Category,Level 2 Code,Level 2 Category,Level 3 Code,Level 3 Category,Level 4 Code,Level 4 Category,Template
"LOK Fitting (Tube Fitting), Cap",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116022,Plug & Cap,0116022002,Cap,A
"LOK Fitting (Tube Fitting), Spare Part, Nut",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116023,Spare Part,0116023001,Nut,A
"LOK Fitting (Tube Fitting), Spare Part, Ferrule",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116023,Spare Part,0116023002,Ferrule,A
"Needle Valve, SUS 316L, LOK",01,Stainless Steel (SUS),0117,Needle Valve,0117001,SUS 316L,0117001001,LOK,A
"Diaphragm Valve, Male VCR",01,Stainless Steel (SUS),0118,Diaphragm Valve,0118001,VCR,0118001001,Male VCR,A
"Diaphragm Valve, Female VCR",01,Stainless Steel (SUS),0118,Diaphragm Valve,0118001,VCR,0118001002,Female VCR,A
"Diaphragm Valve, LOK, BA",01,Stainless Steel (SUS),0118,Diaphragm Valve,0118002,LOK,0118002001,BA,A
"Diaphragm Valve, LOK, EP",01,Stainless Steel (SUS),0118,Diaphragm Valve,0118002,LOK,0118002002,EP,A
"Diaphragm Valve, Pneumatic, VF",01,Stainless Steel (SUS),0118,Diaphragm Valve,0118005,Pneumatic,0118005002,VF,A
"Diaphragm Valve, Manual",01,Stainless Steel (SUS),0118,Diaphragm Valve,0118006,Manual,0118006001,Standard,A
"Flexible & Bellows (Expansion Joint), Flexible Hose, Screw Type",01,Stainless Steel (SUS),0120,Flexible & Bellows (Expansion Joint),0120001,Flexible Hose,0120001001,Screw Type,A
"Flexible & Bellows (Expansion Joint), Flexible Hose, Flange Type",01,Stainless Steel (SUS),0120,Flexible & Bellows (Expansion Joint),0120001,Flexible Hose,0120001002,Flange Type,A
"Flexible & Bellows (Expansion Joint), Flexible Hose, LOK Type",01,Stainless Steel (SUS),0120,Flexible & Bellows (Expansion Joint),0120001,Flexible Hose,0120001004,LOK Type,A
"Flexible & Bellows (Expansion Joint), Flexible Joint, SUS 304",01,Stainless Steel (SUS),0120,Flexible & Bellows (Expansion Joint),0120004,Flexible Joint,0120004001,SUS 304,A
"Flexible & Bellows (Expansion Joint), TPC, 150#",01,Stainless Steel (SUS),0120,Flexible & Bellows (Expansion Joint),0120006,TPC,0120006003,150#,A
"Flexible & Bellows (Expansion Joint), Control Rod",01,Stainless Steel (SUS),0120,Flexible & Bellows (Expansion Joint),0120008,Control Rod,0120008001,Standard,A
"Flexible & Bellows (Expansion Joint), ANSI Type",01,Stainless Steel (SUS),0120,Flexible & Bellows (Expansion Joint),0120009,Expansion Joint,0120009002,ANSI Type,A
"Flexible & Bellows (Expansion Joint), PTFE Lined, SUS 304",01,Stainless Steel (SUS),0120,Flexible & Bellows (Expansion Joint),0120011,PTFE Lined,0120011001,SUS 304,A
"Weld Fitting (Clean Fitting), Metal Face Seal (VCR) Fitting, Gland",01,Stainless Steel (SUS),0121,Weld Fitting (Clean Fitting),0121005,Metal Face Seal (VCR) Fitting,0121005001,Gland,A
"Weld Fitting (Clean Fitting), Metal Face Seal (VCR) Fitting, Gasket",01,Stainless Steel (SUS),0121,Weld Fitting (Clean Fitting),0121005,Metal Face Seal (VCR) Fitting,0121005004,Gasket,A
"Weld Fitting (Clean Fitting), Metal Face Seal (VCR) Fitting, Female Nut",01,Stainless Steel (SUS),0121,Weld Fitting (Clean Fitting),0121005,Metal Face Seal (VCR) Fitting,0121005005,Female Nut,A
"Weld Fitting (Clean Fitting), Metal Face Seal (VCR) Fitting, Male Nut",01,Stainless Steel (SUS),0121,Weld Fitting (Clean Fitting),0121005,Metal Face Seal (VCR) Fitting,0121005006,Male Nut,A
"Weld Fitting (Clean Fitting), Metal Face Seal (VCR) Fitting, Plug",01,Stainless Steel (SUS),0121,Weld Fitting (Clean Fitting),0121005,Metal Face Seal (VCR) Fitting,0121005007,Plug,A
"Weld Fitting (Clean Fitting), Metal Face Seal (VCR) Fitting, Cap",01,Stainless Steel (SUS),0121,Weld Fitting (Clean Fitting),0121005,Metal Face Seal (VCR) Fitting,0121005008,Cap,A
"Weld Fitting (Clean Fitting), Metal Face Seal (VCR) Fitting, Union",01,Stainless Steel (SUS),0121,Weld Fitting (Clean Fitting),0121005,Metal Face Seal (VCR) Fitting,0121005010,Union,A
"Weld Fitting (Clean Fitting), Metal Face Seal (VCR) Fitting, Connector",01,Stainless Steel (SUS),0121,Weld Fitting (Clean Fitting),0121005,Metal Face Seal (VCR) Fitting,0121005011,Connector,A
"Weld Fitting (Clean Fitting), Metal Face Seal (VCR) Fitting, Elbow",01,Stainless Steel (SUS),0121,Weld Fitting (Clean Fitting),0121005,Metal Face Seal (VCR) Fitting,0121005013,Elbow,A
"Weld Fitting (Clean Fitting), Adapter",01,Stainless Steel (SUS),0121,Weld Fitting (Clean Fitting),0121006,Weld Fitting,0121006001,Adapter,A
